Security,Brokerage,Built-up area,Bathrooms,Age of property,Price,School Time,School Distance,Hospital Time,Hospital Distance,Railway Time,Railway Distance,Area,City
300000.0,40000,1625.0,3.0,1.0,40000.0,2,0.9,1,0.2,15,11.1,Bejai,Mangalore
150000.0,29000,1800.0,3.0,9.0,29000.0,2,0.9,2,1.1,15,11.1,Bejai,Mangalore
100000.0,22000,1300.0,2.0,5.0,22000.0,2,0.9,2,1.1,15,11.1,Bejai,Mangalore
100000.0,0,1655.0,3.0,0.0,50000.0,2,0.9,1,0.2,15,11.1,Bejai,Mangalore
250000.0,47000,1625.0,3.0,1.0,47000.0,2,0.9,1,0.2,15,11.1,Bejai,Mangalore
150000.0,24000,1375.0,2.0,5.0,24500.0,4,2.1,4,2.3,15,11.1,Bejai,Mangalore
100000.0,22000,1500.0,2.0,8.0,22000.0,4,2.1,2,1.1,15,11.1,Bejai,Mangalore
100000.0,23000,1000.0,2.0,14.0,23000.0,4,2.1,2,1.1,15,11.1,Bejai,Mangalore
150000.0,29000,1100.0,2.0,10.0,29000.0,4,2.1,2,1.1,15,11.1,Bejai,Mangalore
150000.0,25000,1500.0,2.0,10.0,25000.0,4,2.1,2,1.1,15,11.1,Bejai,Mangalore
300000.0,50000,1700.0,3.0,2.0,50000.0,2,0.9,1,0.2,15,11.1,Bejai,Mangalore
150000.0,23000,1300.0,2.0,5.0,23000.0,2,0.9,2,1.1,15,11.1,Bejai,Mangalore
150000.0,25000,1300.0,2.0,5.0,25000.0,4,2.1,4,2.3,15,11.1,Bejai,Mangalore
150000.0,35000,1300.0,2.0,10.0,35000.0,4,2.1,2,1.1,15,11.1,Bejai,Mangalore
130000.0,19000,1250.0,2.0,12.0,19500.0,1,0.7,1,0.7,15,11.1,Bejai,Mangalore
75000.0,13000,1250.0,2.0,7.0,13500.0,1,0.7,2,1.1,15,11.1,Bejai,Mangalore
75000.0,15000,1000.0,2.0,12.0,15000.0,1,0.7,2,1.1,15,11.1,Bejai,Mangalore
75000.0,15000,1100.0,2.0,10.0,15500.0,1,0.7,2,1.1,15,11.1,Bejai,Mangalore
75000.0,22000,1500.0,3.0,8.0,22500.0,1,0.7,2,1.1,15,11.1,Bejai,Mangalore
100000.0,20000,1200.0,2.0,15.0,20000.0,1,0.7,2,1.1,15,11.1,Bejai,Mangalore
200000.0,42000,1625.0,3.0,1.0,42000.0,1,0.7,2,1.1,15,11.1,Bejai,Mangalore
50000.0,16000,1000.0,2.0,5.0,16000.0,1,0.7,2,1.1,15,11.1,Bejai,Mangalore
130000.0,23000,1250.0,2.0,4.0,23000.0,2,0.9,1,0.4,15,11.1,Bejai,Mangalore
60000.0,30000,1250.0,2.0,5.0,30000.0,3,2.2,4,2.4,15,11.1,Bejai,Mangalore
290000.0,45000,1410.0,2.0,1.0,45000.0,2,0.9,1,0.2,15,11.1,Bejai,Mangalore
100000.0,21000,965.0,2.0,3.0,21000.0,1,0.7,2,0.9,15,11.1,Derebail,Mangalore
45000.0,10000,800.0,1.0,7.0,10500.0,3,1.4,4,2.0,15,11.1,Derebail,Mangalore
200000.0,28000,1285.0,2.0,7.0,28000.0,3,1.4,4,2.0,15,11.1,Derebail,Mangalore
100000.0,18000,1050.0,2.0,2.0,18500.0,1,0.7,2,0.9,15,11.1,Derebail,Mangalore
75000.0,16000,1200.0,2.0,7.0,16000.0,3,1.4,4,2.0,15,11.1,Derebail,Mangalore
100000.0,17000,950.0,2.0,3.0,17000.0,3,1.4,4,2.0,15,11.1,Derebail,Mangalore
70000.0,18000,1400.0,1.0,6.0,18000.0,3,1.4,4,2.0,15,11.1,Derebail,Mangalore
0.0,0,1550.0,3.0,7.0,18000.0,3,1.4,4,2.0,15,11.1,Derebail,Mangalore
35000.0,0,850.0,2.0,0.0,11000.0,2,1.0,5,3.6,15,11.1,Derebail,Mangalore
130000.0,25000,1180.0,2.0,7.0,25000.0,2,1.0,3,1.8,15,11.1,Derebail,Mangalore
30000.0,0,1000.0,2.0,0.0,13000.0,2,1.0,3,3.0,15,11.1,Derebail,Mangalore
75000.0,0,800.0,1.0,0.0,15000.0,2,1.0,4,3.0,15,11.1,Derebail,Mangalore
100000.0,21000,1200.0,2.0,8.0,21000.0,2,1.0,4,3.1,15,11.1,Derebail,Mangalore
100000.0,25000,1100.0,2.0,1.0,25000.0,2,1.0,4,3.1,15,11.1,Derebail,Mangalore
12000.0,5000,250.0,1.0,15.0,5500.0,2,1.0,4,3.1,15,11.1,Derebail,Mangalore
50000.0,10000,800.0,1.0,0.0,10000.0,2,1.0,4,3.1,15,11.1,Derebail,Mangalore
150000.0,25000,1250.0,2.0,1.0,25000.0,2,1.0,4,3.1,15,11.1,Derebail,Mangalore
18000.0,18000,1525.0,2.0,17.0,18000.0,2,1.0,4,3.1,15,11.1,Derebail,Mangalore
130000.0,22000,1200.0,2.0,2.0,22000.0,1,0.4,4,2.9,15,11.1,Derebail,Mangalore
200000.0,35000,1800.0,3.0,10.0,35000.0,1,0.4,4,2.9,15,11.1,Derebail,Mangalore
200000.0,35000,1900.0,3.0,8.0,35000.0,1,0.4,1,0.7,15,11.1,Kadri,Mangalore
200000.0,30000,1400.0,2.0,1.0,30000.0,1,0.4,1,0.7,15,11.1,Kadri,Mangalore
100000.0,22000,1200.0,2.0,10.0,22000.0,1,0.4,1,0.7,15,11.1,Kadri,Mangalore
100000.0,22000,1100.0,2.0,5.0,22000.0,1,0.4,1,0.7,15,11.1,Kadri,Mangalore
50000.0,11000,800.0,1.0,18.0,11000.0,1,0.4,1,0.7,15,11.1,Kadri,Mangalore
75000.0,27000,1700.0,3.0,10.0,27000.0,1,0.4,1,0.7,15,11.1,Kadri,Mangalore
